,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,-0.3036630571911539,0.6687806573533678,0.19479287385559302,0.24648071326556925,-0.23940488239922483,-0.1909032357316989,0.619743316186921,-0.7138167155732789,0.22403773891459275,-0.08030814746826129,0.11631951755733902
volatile acidity,-0.3036630571911539,1.0,-0.5839808669492419,0.06648201167178543,0.12473402173017997,0.045024782205573974,0.11867725927402917,-0.021884549212176054,0.29304299592458527,-0.2670737540981712,-0.14387591738471067,-0.24460778152065518
citric acid,0.6687806573533678,-0.5839808669492419,1.0,0.18586083709334025,0.10371327805013517,-0.16202658125500113,-0.09963057690863143,0.34856600892885464,-0.5864780755881498,0.25707964839073777,0.13050417783049914,0.21633803732166187
residual sugar,0.19479287385559302,0.06648201167178543,0.18586083709334025,1.0,0.28705903012548784,0.0015415584505852182,0.09132680562144128,0.32925088712897294,-0.09365365579480266,0.09848051565273237,0.08033849477499265,0.046867605610660855
chlorides,0.24648071326556925,0.12473402173017997,0.10371327805013517,0.28705903012548784,1.0,-0.07549633980696567,0.013919082110808232,0.40724122883024816,-0.18660445912310278,-0.07275228562969324,-0.22470976330481096,-0.10501890207695695
free sulfur dioxide,-0.23940488239922483,0.045024782205573974,-0.16202658125500113,0.0015415584505852182,-0.07549633980696567,1.0,0.6847739353434394,-0.10228184285461316,0.21475807912299347,0.002266865654399291,0.002950862167053512,-0.09017291310139934
total sulfur dioxide,-0.1909032357316989,0.11867725927402917,-0.09963057690863143,0.09132680562144128,0.013919082110808232,0.6847739353434394,1.0,0.0564332857629838,0.15088430136463762,-0.04156665946273997,-0.14933892256998704,-0.13740650761341544
density,0.619743316186921,-0.021884549212176054,0.34856600892885464,0.32925088712897294,0.40724122883024816,-0.10228184285461316,0.0564332857629838,1.0,-0.33817028287457546,0.18184864145872448,-0.5303217339736792,-0.12061389206270695
pH,-0.7138167155732789,0.29304299592458527,-0.5864780755881498,-0.09365365579480266,-0.18660445912310278,0.21475807912299347,0.15088430136463762,-0.33817028287457546,1.0,-0.04475636192042545,0.10517199204314548,-0.09506815982528671
sulphates,0.22403773891459275,-0.2670737540981712,0.25707964839073777,0.09848051565273237,-0.07275228562969324,0.002266865654399291,-0.04156665946273997,0.18184864145872448,-0.04475636192042545,1.0,0.0646972014116946,0.23290917707441464
alcohol,-0.08030814746826129,-0.14387591738471067,0.13050417783049914,0.08033849477499265,-0.22470976330481096,0.002950862167053512,-0.14933892256998704,-0.5303217339736792,0.10517199204314548,0.0646972014116946,1.0,0.32690157433293066
quality,0.11631951755733902,-0.24460778152065518,0.21633803732166187,0.046867605610660855,-0.10501890207695695,-0.09017291310139934,-0.13740650761341544,-0.12061389206270695,-0.09506815982528671,0.23290917707441464,0.32690157433293066,1.0
