,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,-0.28215890053819076,0.6968760311455744,0.11446040877209149,0.12595341662260182,-0.2186376410026274,-0.17635892873889678,0.6994425545521764,-0.7283408104347693,0.21506070470620875,-0.15408180090847412,0.10561622637394513
volatile acidity,-0.28215890053819076,1.0,-0.5780299512659164,0.006654525153810793,0.07451249536481484,0.015967991997668858,0.06815474008775878,0.026407942093594212,0.2849192819056359,-0.23223032135165403,-0.1469350516274383,-0.23236467971289643
citric acid,0.6968760311455744,-0.5780299512659164,1.0,0.16185375706967978,0.1543342707590213,-0.1495031173898562,-0.04852573358335767,0.3715603946546112,-0.5921690361993652,0.2647030958544789,0.09574548795900445,0.2176691660530374
residual sugar,0.11446040877209149,0.006654525153810793,0.16185375706967978,1.0,0.10447638782878338,0.14424254426920835,0.22137739887146737,0.3334665058481349,-0.10275206087145945,-0.022004260908297133,0.021775270384228523,0.06393716779730775
chlorides,0.12595341662260182,0.07451249536481484,0.1543342707590213,0.10447638782878338,1.0,-0.08026431088214178,-0.04398698363227422,0.26142006689854785,-0.21785489247267664,0.221033776079143,-0.23108267720304437,-0.10997255187367354
free sulfur dioxide,-0.2186376410026274,0.015967991997668858,-0.1495031173898562,0.14424254426920835,-0.08026431088214178,1.0,0.6615690695750687,-0.12332099101339347,0.17631667943841858,0.02849805263908689,0.018645934637172748,-0.07498583452143444
total sulfur dioxide,-0.17635892873889678,0.06815474008775878,-0.04852573358335767,0.22137739887146737,-0.04398698363227422,0.6615690695750687,1.0,-0.05662554734655123,0.02954478920167659,0.029435528351264853,-0.0513239795354259,-0.09392633441869237
density,0.6994425545521764,0.026407942093594212,0.3715603946546112,0.3334665058481349,0.26142006689854785,-0.12332099101339347,-0.05662554734655123,1.0,-0.38449706786628507,0.18488184589674503,-0.559682703214126,-0.13510792012367678
pH,-0.7283408104347693,0.2849192819056359,-0.5921690361993652,-0.10275206087145945,-0.21785489247267664,0.17631667943841858,0.02954478920167659,-0.38449706786628507,1.0,-0.16449230713972612,0.20295053583446884,-0.08508603242438854
sulphates,0.21506070470620875,-0.23223032135165403,0.2647030958544789,-0.022004260908297133,0.221033776079143,0.02849805263908689,0.029435528351264853,0.18488184589674503,-0.16449230713972612,1.0,0.02303437531288224,0.18962105118825326
alcohol,-0.15408180090847412,-0.1469350516274383,0.09574548795900445,0.021775270384228523,-0.23108267720304437,0.018645934637172748,-0.0513239795354259,-0.559682703214126,0.20295053583446884,0.02303437531288224,1.0,0.3578488404733089
quality,0.10561622637394513,-0.23236467971289643,0.2176691660530374,0.06393716779730775,-0.10997255187367354,-0.07498583452143444,-0.09392633441869237,-0.13510792012367678,-0.08508603242438854,0.18962105118825326,0.3578488404733089,1.0
