,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,-0.18086059132669105,0.5971525919168668,0.30805444517499725,0.27753496532545696,-0.030382488026192537,-0.003115757465984636,0.656605997002597,-0.5801984586761312,0.09296752788002986,-0.17603293200384038,0.068470884499896
volatile acidity,-0.18086059132669105,1.0,-0.5120983348211643,-0.008318582991934026,0.07805605582860965,-0.0757198419501079,-0.04831747501926101,-0.08397700239968141,0.1673726609547171,-0.21696311342941543,-0.023495667446978723,-0.12047735490711209
citric acid,0.5971525919168668,-0.5120983348211643,1.0,0.13844408675140202,0.15864737875641616,0.08289762874474148,0.15824502408528418,0.4261451336213309,-0.47662946223447694,0.2339967726183644,-0.049722648377171864,0.1217179158685908
residual sugar,0.30805444517499725,-0.008318582991934026,0.13844408675140202,1.0,0.22067058174427429,0.10503899875298997,0.2073562702908512,0.5097003322765289,-0.04127444337175585,0.035371558395463264,0.09159711803117825,0.04002617975069743
chlorides,0.27753496532545696,0.07805605582860965,0.15864737875641616,0.22067058174427429,1.0,0.06076270038608295,0.1539131733325441,0.36386348273931085,-0.23040830583269525,0.10692272956104376,-0.28064351317499725,0.09273740117216389
free sulfur dioxide,-0.030382488026192537,-0.0757198419501079,0.08289762874474148,0.10503899875298997,0.06076270038608295,1.0,0.648080200545763,0.07495153415751339,-0.03724760719037149,0.09880093311249041,-0.1514900222923104,0.10531015291137812
total sulfur dioxide,-0.003115757465984636,-0.04831747501926101,0.15824502408528418,0.2073562702908512,0.1539131733325441,0.648080200545763,1.0,0.14011241349927014,-0.13900690625126083,0.11180254487694755,-0.22150266727281515,0.12417480415525325
density,0.656605997002597,-0.08397700239968141,0.4261451336213309,0.5097003322765289,0.36386348273931085,0.07495153415751339,0.14011241349927014,1.0,-0.22232580887742823,0.22814277232305352,-0.3734152548879846,0.08601069751787675
pH,-0.5801984586761312,0.1673726609547171,-0.47662946223447694,-0.04127444337175585,-0.23040830583269525,-0.03724760719037149,-0.13900690625126083,-0.22232580887742823,1.0,0.01798407724628625,0.29475097469823197,-0.12623942170077807
sulphates,0.09296752788002986,-0.21696311342941543,0.2339967726183644,0.035371558395463264,0.10692272956104376,0.09880093311249041,0.11180254487694755,0.22814277232305352,0.01798407724628625,1.0,0.09313829737752809,0.11088451560762033
alcohol,-0.17603293200384038,-0.023495667446978723,-0.049722648377171864,0.09159711803117825,-0.28064351317499725,-0.1514900222923104,-0.22150266727281515,-0.3734152548879846,0.29475097469823197,0.09313829737752809,1.0,-0.13132373643841652
quality,0.068470884499896,-0.12047735490711209,0.1217179158685908,0.04002617975069743,0.09273740117216389,0.10531015291137812,0.12417480415525325,0.08601069751787675,-0.12623942170077807,0.11088451560762033,-0.13132373643841652,1.0
